1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -1.56000000000000e+02	| -1.56000000000000e+02	| -1.56000000000000e+02	 
1 		| -1.56663345640284e+02	| -1.56663345640284e+02	| -1.56663345640284e+02	 
2 		| -1.56664662808782e+02	| -1.56664652647165e+02	| -1.56664662808782e+02	 
3 		| -1.56664662815086e+02	| -1.56664662733203e+02	| -1.56664662815086e+02	 
4 		| 			| -1.56664662814424e+02	| 			 
5 		| 			| -1.56664662815086e+02	| 			 
Tempo total 	| 8.69897460937500e+00	| 8.37011718750000e+00	| 4.10083007812500e+00
Tempo derivadas | 1.40771484375000e+01	| 1.44030761718750e+01	| 8.51513671875000e+00
Tempo SL 	| 4.19921875000000e-02	| 5.29785156250000e-02	| 5.13671875000000e-01
#

10
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -3.90000000000000e+02	| -3.90000000000000e+02	| -3.90000000000000e+02	 
1 		| -3.91658364100711e+02	| -3.91658364100711e+02	| -3.91658364100711e+02	 
2 		| -3.91661657021954e+02	| -3.91661631617912e+02	| -3.91661657021954e+02	 
3 		| -3.91661657037714e+02	| -3.91661656833009e+02	| -3.91661657037714e+02	 
4 		| 			| -3.91661657036060e+02	| 			 
5 		| 			| -3.91661657037701e+02	| 			 
6 		| 			| -3.91661657037714e+02	| 			 
7 		| 			| -3.91661657037714e+02	| 			 
Tempo total 	| 1.76701660156250e+01	| 2.46909179687500e+01	| 1.76660156250000e+01
Tempo derivadas | 3.10432128906250e+01	| 3.79321289062500e+01	| 2.54213867187500e+01
Tempo SL 	| 5.17578125000000e-02	| 7.78808593750000e-02	| 6.05712890625000e-01
#

20
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -7.80000000000000e+02	| -7.80000000000000e+02	| -7.80000000000000e+02	 
1 		| -7.83316728201422e+02	| -7.83316728201422e+02	| -7.83316728201422e+02	 
2 		| -7.83323314043909e+02	| -7.83323263235824e+02	| -7.83323314043909e+02	 
3 		| -7.83323314075428e+02	| -7.83323313666017e+02	| -7.83323314075428e+02	 
4 		| 			| -7.83323314072119e+02	| 			 
5 		| 			| -7.83323314075401e+02	| 			 
6 		| 			| -7.83323314075428e+02	| 			 
7 		| 			| -7.83323314075428e+02	| 			 
8 		| 			| -7.83323314075428e+02	| 			 
Tempo total 	| 9.00808105468750e+01	| 1.36027099609375e+02	| 1.90229980468750e+02
Tempo derivadas | 1.19623779296875e+02	| 1.70963867187500e+02	| 2.12964355468750e+02
Tempo SL 	| 1.06689453125000e-01	| 2.66845703125000e-01	| 1.00366210937500e+00
#

32
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+x21^4-16*x21^2+5*x21+x22^4-16*x22^2+5*x22+x23^4-16*x23^2+5*x23+x24^4-16*x24^2+5*x24+x25^4-16*x25^2+5*x25+x26^4-16*x26^2+5*x26+x27^4-16*x27^2+5*x27+x28^4-16*x28^2+5*x28+x29^4-16*x29^2+5*x29+x30^4-16*x30^2+5*x30+x31^4-16*x31^2+5*x31+x32^4-16*x32^2+5*x32+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -1.24800000000000e+03	| -1.24800000000000e+03	| -1.24800000000000e+03	 
1 		| -1.25330676512228e+03	| -1.25330676512228e+03	| -1.25330676512228e+03	 
